,belongs_to_collection,genres,original_language,popularity,production_companies,runtime,spoken_languages,title,vote_average
7431,Sniper Collection,"['Action', 'Drama', 'Thriller']",en,9.337393,"['TriStar Pictures', 'Iguana Producciones', 'Baltimore Pictures', 'Sniper Productions']",98.0,['English'],Sniper,5.9
7444,Babylon 5 Collection,"['Action', 'Drama', 'Science Fiction', 'Adventure']",en,8.389329,"['Babylonian Productions', 'Turner Network Television (TNT)']",94.0,['English'],Babylon 5: A Call to Arms,6.9
7445,Babylon 5 Collection,"['Action', 'Drama', 'Science Fiction', 'Adventure']",en,2.203009,"['Babylonian Productions', 'Turner Network Television (TNT)']",94.0,['English'],Babylon 5: The River of Souls,6.1
7446,Babylon 5 Collection,"['Action', 'Drama', 'Science Fiction', 'Adventure']",en,5.579911,"['Babylonian Productions', 'Turner Network Television (TNT)']",94.0,['English'],Babylon 5: Thirdspace,6.4
7462,The Thin Man Collection,"['Comedy', 'Drama']",en,1.881187,['Metro-Goldwyn-Mayer (MGM)'],103.0,['English'],Another Thin Man,7.0
7463,The Thin Man Collection,"['Comedy', 'Mystery', 'Thriller']",en,5.650608,['Metro-Goldwyn-Mayer (MGM)'],100.0,['English'],The Thin Man Goes Home,6.4
7464,The Thin Man Collection,"['Comedy', 'Mystery', 'Romance', 'Thriller']",en,2.671234,['Metro-Goldwyn-Mayer (MGM)'],97.0,['English'],Shadow of the Thin Man,6.2
7465,The Thin Man Collection,"['Comedy', 'Crime', 'Mystery']",en,7.201727,['Metro-Goldwyn-Mayer (MGM)'],112.0,['English'],After the Thin Man,7.1
7466,The Thin Man Collection,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",en,1.148166,['Metro-Goldwyn-Mayer (MGM)'],86.0,['English'],Song of the Thin Man,6.6
7474,Lammbock Collection,['Comedy'],de,9.634205,['Little Shark Entertainment GmbH'],93.0,['Deutsch'],Lammbock,7.0
7475,The Legend Collection,"['Adventure', 'Action', 'Comedy']",cn,3.782615,['Eastern Productions'],106.0,['广州话 / 廣州話'],The Legend I,7.1
7476,Tremors Collection,"['Horror', 'Action', 'Comedy', 'Science Fiction']",en,9.877868,"['MCA/Universal Pictures', 'Stampede Entertainment']",100.0,"['English', 'Español']",Tremors 2: Aftershocks,5.9
7477,Tremors Collection,"['Action', 'Comedy', 'Horror', 'Science Fiction', 'Thriller']",en,10.191148,"['Stampede Entertainment', 'Universal Family and Home Entertainment']",104.0,['English'],Tremors 3: Back to Perfection,5.4
7488,Vampire Karnstein (Hammer series),['Horror'],en,3.448018,['Hammer Film Productions'],91.0,"['Deutsch', 'English']",The Vampire Lovers,6.5
7490,The Cheerleaders - Collection,['Comedy'],en,0.457852,['The Cheerleaders Company'],81.0,['English'],The Cheerleaders,4.5
7495,The Streetfighter Collection,['Action'],ja,0.834969,['Toei Company'],91.0,['日本語'],The Streetfighter,7.0
7496,The Streetfighter Collection,"['Action', 'Foreign']",ja,0.905518,['Toei Company'],85.0,['日本語'],Return of the Street Fighter,5.9
7503,Frankenstein (Hammer Series),"['Horror', 'Science Fiction']",en,2.049849,['Hammer Film Productions'],98.0,['English'],Frankenstein Must Be Destroyed,6.4
7509,The Gidget Collection,"['Comedy', 'Romance']",en,0.802364,['Columbia Pictures Corporation'],95.0,['English'],Gidget,5.9
7528,Silence of God Trilogy by Ingmar Bergman,"['Drama', 'Romance']",sv,3.822314,['Svensk Filmindustri (SF)'],91.0,"['English', 'Français', 'Deutsch', 'svenska']",The Silence,7.5
7529,Silence of God Trilogy by Ingmar Bergman,['Drama'],sv,4.338439,['Svensk Filmindustri (SF)'],81.0,['svenska'],Winter Light,7.6
7530,Silence of God Trilogy by Ingmar Bergman,['Drama'],sv,4.955553,['Svensk Filmindustri (SF)'],89.0,"['Latin', 'svenska']",Through a Glass Darkly,7.6
7549,The Complete Monterey Pop Festival,"['Documentary', 'Music']",en,8.003836,['The Foundation'],78.0,['English'],Monterey Pop,7.2
7551,Infernal Affairs Collection,"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",cn,10.363082,['Media Asia Films'],101.0,['广州话 / 廣州話'],Infernal Affairs,7.7
7556,Robot Jox Collection,"['Science Fiction', 'Action']",en,3.312779,"['Empire Pictures', 'Altar Productions']",85.0,['English'],Robot Jox,5.3
7561,Death Race Original Collection,"['Action', 'Comedy', 'Science Fiction']",en,6.064898,['New World Pictures'],80.0,['English'],Death Race 2000,6.0
7594,Lew Harper Collection,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",en,8.55931,['Warner Bros.'],121.0,['English'],Harper,6.3
7605,In China They Eat Dogs Collection,"['Action', 'Comedy', 'Crime']",da,5.06264,['Steen Herdel Filmproduktion'],91.0,"['Dansk', 'English', 'Deutsch', '']",In China They Eat Dogs,7.5
7606,The Delta Force Collection,"['Action', 'Adventure']",en,7.007739,"['Cannon Group', 'Metro-Goldwyn-Mayer (MGM)']",111.0,"['English', 'Français']",Delta Force 2: The Colombian Connection,5.3
7621,Per Fly trilogien (Samling),['Drama'],da,1.599982,['Zentropa Entertainments'],116.0,['Dansk'],The Inheritance,7.0
7648,Alienation Trilogy,"['Drama', 'Mystery']",it,9.595757,['Cino del Duca'],143.0,"['Italiano', 'English']",L'Avventura,7.6
7651,Dr. Mabuse Collection,"['Mystery', 'Crime', 'Thriller']",de,1.685889,"['Critérion Film', 'CEI Incom', 'Central Cinema Company Film (CCC)']",99.0,['Deutsch'],"The 1,000 Eyes of Dr. Mabuse",7.1
7672,Teenage Apocalypse Trilogy,"['Comedy', 'Drama']",en,1.520025,['Blurco'],78.0,['English'],Totally Fucked Up,6.5
7675,Lupin the Third Collection,"['Adventure', 'Animation', 'Comedy']",ja,7.932795,['Tokyo Movie Shinsha (TMS)'],110.0,['日本語'],Lupin the Third: The Castle of Cagliostro,7.5
7680,The Toxic Avenger Collection,"['Comedy', 'Horror']",en,4.693487,['Troma Entertainment'],109.0,['English'],Citizen Toxie: The Toxic Avenger IV,6.2
7686,Grey Gardens Collection,['Documentary'],en,3.019245,['Portrait Films'],100.0,['English'],Grey Gardens,7.2
7717,Shrek Collection,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",en,16.22986,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']",93.0,['English'],Shrek 2,6.7
7725,Harry Potter Collection,"['Adventure', 'Fantasy', 'Family']",en,28.460276,"['1492 Pictures', 'Heyday films', 'Warner Bros.']",141.0,['English'],Harry Potter and the Prisoner of Azkaban,7.7
7728,The Chronicles of Riddick Collection,"['Action', 'Science Fiction']",en,5.060352,"['One Race Films', 'Radar Pictures']",119.0,['English'],The Chronicles of Riddick,6.3
7729,Garfield Collection,"['Animation', 'Comedy', 'Family']",en,10.003679,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Twentieth Century Fox Animation']",80.0,['English'],Garfield,5.2
7743,Police Academy Collection,"['Comedy', 'Crime']",en,6.168241,['Warner Bros.'],83.0,['English'],Police Academy: Mission to Moscow,4.1
7754,Sherlock Holmes (1939 series),"['Crime', 'Mystery', 'Thriller']",en,2.561651,['Twentieth Century Fox Film Corporation'],85.0,['English'],The Adventures of Sherlock Holmes,7.2
7757,Sherlock Holmes (1939 series),"['Mystery', 'Thriller']",en,2.722222,['Twentieth Century Fox Film Corporation'],80.0,"['English', 'Italiano']",The Hound of the Baskervilles,7.3
7788,Super Size Me Collection,"['Documentary', 'Comedy', 'Drama']",en,5.266103,['Kathbur Pictures'],100.0,['English'],Super Size Me,6.6
7796,Billy Jack Collection,"['Action', 'Drama']",en,1.345165,"['Fanfare Films', 'American International Productions', 'Otis Productions']",113.0,['English'],The Born Losers,5.3
7797,The Human Condition,"['War', 'Drama', 'History']",ja,2.756995,"['Shôchiku Eiga', 'Ninjin Club']",208.0,"['日本語', '普通话']",The Human Condition I: No Greater Love,8.5
7809,Godzilla (Showa) Collection,"['Action', 'Science Fiction']",ja,1.931568,"['Toho Film (Eiga) Co. Ltd.', 'Toho Company', 'Toho Eizo Co.']",84.0,['日本語'],Godzilla vs. Mechagodzilla,6.3
7810,The Hitcher (1986) Collection,"['Action', 'Horror', 'Thriller']",en,5.648114,"['Silver Screen Partners', 'TriStar Pictures', 'HBO Pictures']",97.0,['English'],The Hitcher,6.9
7843,Dexter Riley Collection,"['Comedy', 'Family']",en,1.215839,['Walt Disney Productions'],88.0,['English'],"Now You See Him, Now You Don't",7.2
7864,The Philadelphia Experiment - Collezione,['Science Fiction'],en,13.378587,"['New World Pictures', 'Cinema Group Ventures', 'New Pictures Group']",102.0,['English'],The Philadelphia Experiment,6.1
7869,The Pink Panther (Original) Collection,"['Action', 'Comedy', 'Crime', 'Thriller']",en,6.970037,"['United Artists', 'Jewel Productions', 'Pimlico Films', 'Sellers-Edwards productions']",104.0,"['English', 'Français']",Revenge of the Pink Panther,6.4
7877,Taxi Collection,"['Action', 'Comedy', 'Crime']",fr,7.668149,"['ARP Sélection', 'Cofimage 9', 'TF1 Films Production', 'Canal+', 'EuropaCorp', 'Studio Image 4']",86.0,"['Português', 'Français', 'Deutsch', '한국어/조선말']",Taxi,6.5
7878,Taxi Collection,"['Action', 'Comedy']",fr,5.892859,['Europa Corp'],82.0,['Français'],Taxi 3,5.5
7885,Lassie (Kinofilme),"['Adventure', 'Drama', 'Family']",en,2.343313,['Metro-Goldwyn-Mayer (MGM)'],88.0,['English'],Lassie Come Home,6.4
7909,Spider-Man Collection,"['Action', 'Adventure', 'Fantasy']",en,10.834506,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",127.0,"['English', 'Pусский', '普通话']",Spider-Man 2,6.7
7911,Before... Collection,"['Drama', 'Romance']",en,7.048957,"['Castle Rock Entertainment', 'Detour Film Production', 'Warner Independent Pictures (WIP)']",80.0,"['English', 'Français']",Before Sunset,7.6
7914,Anchorman Collection,['Comedy'],en,10.33012,['Apatow Productions'],94.0,['English'],Anchorman: The Legend of Ron Burgundy,6.7
7916,Cinderella Story Collection,['Comedy'],en,8.385361,"['Gaylord Films', 'Warner Bros.', 'Dylan Sellers Productions', 'Clifford Werber Productions']",95.0,"['Český', 'English', 'Deutsch']",A Cinderella Story,6.1
7933,Trylogia Sienkiewicza,"['History', 'Adventure', 'War']",pl,0.868637,"['Dovzhenko Film Studios', 'Belarusfilm', 'PRF ""Zespol Filmowy""']",315.0,['Polski'],The Deluge,7.4
7938,The Bourne Collection,"['Action', 'Drama', 'Thriller']",en,20.40426,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Hypnotic', 'Motion Picture THETA Produktionsgesellschaft', 'Ludlum Entertainment']",108.0,"['English', 'Pусский', 'Deutsch', 'Italiano']",The Bourne Supremacy,7.2
7951,The Magnificent Seven Collection,"['Action', 'Adventure', 'Drama', 'Western']",en,2.639721,"['The Mirisch Corporation', 'The Mirisch Production Company']",105.0,"['English', 'Español']",Guns of the Magnificent Seven,5.1
7956,The Magnificent Seven Collection,"['Action', 'Western']",en,2.366529,['The Mirisch Production Company'],100.0,"['English', 'Español']",The Magnificent Seven Ride!,5.5
8044,Sherlock Holmes (1939 series),"['Adventure', 'Thriller', 'Crime', 'Mystery']",en,4.660762,['Universal Pictures'],60.0,['English'],Terror by Night,6.6
8046,Sherlock Holmes (1939 series),"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",en,2.538368,['Universal Pictures'],68.0,"['English', 'Français', 'Italiano']",Sherlock Holmes and the Secret Weapon,6.8
8047,Sherlock Holmes (1939 series),"['Thriller', 'Mystery']",en,1.483385,['Universal Pictures'],68.0,"['Italiano', 'English']",The Woman in Green,6.2
8051,Sherlock Holmes (1939 series),"['Drama', 'Thriller', 'Crime', 'Mystery']",en,5.995438,['Universal Studios'],72.0,['English'],Dressed to Kill,6.8
8060,Thunderbirds (Animation) Collection,"['Animation', 'Family', 'Action', 'Science Fiction']",en,0.948355,"['Century 21 Television', 'Associated Television (Overseas) Limited']",93.0,['English'],Thunderbirds are GO,5.9
8061,Thunderbirds (Animation) Collection,"['Adventure', 'Family', 'Science Fiction', 'Animation']",en,0.922944,"['Century 21 Television', 'Associated Television International']",89.0,['English'],Thunderbird 6,6.1
8066,PTU Collection,"['Crime', 'Drama', 'Action']",cn,3.461469,['Milky Way Image Company'],88.0,"['广州话 / 廣州話', 'English']",PTU,6.7
8080,Harold & Kumar Collection,"['Comedy', 'Adventure']",en,8.344105,['New Line Cinema'],88.0,"['English', 'हिन्दी']",Harold & Kumar Go to White Castle,6.6
8081,The Princess Diaries Collection,"['Comedy', 'Drama', 'Family', 'Romance']",en,8.248895,['Walt Disney Pictures'],113.0,['English'],The Princess Diaries 2: Royal Engagement,6.0
8083,AVP Collection,"['Adventure', 'Science Fiction', 'Action']",en,12.636205,"['Impact Pictures', 'Studio Babelsberg', 'Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Stillking Films', 'Brandywine Productions', 'Lonlink Productions', 'Kut Productions', 'Inside Track Films', 'Charenton Productions Limited', 'Revolution Sun Studios']",101.0,"['Italiano', 'English']",AVP: Alien vs. Predator,5.6
8087,Without a Paddle Collection,"['Action', 'Adventure', 'Comedy', 'Thriller']",en,6.046516,"['Paramount Pictures', 'De Line Pictures']",95.0,['English'],Without a Paddle,5.3
8088,The Exorcist Collection,"['Horror', 'Mystery', 'Thriller']",en,13.02369,"['Morgan Creek Productions', 'Dominion Productions']",114.0,['English'],Exorcist: The Beginning,4.7
8096,The Sting Collection,"['Action', 'Comedy', 'Drama']",en,3.659745,['Universal Pictures'],102.0,"['English', 'Français']",The Sting II,4.5
8103,Anaconda Collection,"['Adventure', 'Action', 'Horror', 'Science Fiction', 'Thriller']",en,10.749404,"['Screen Gems', 'Middle Fork Productions']",97.0,"['English', 'Pусский']",Anacondas: The Hunt for the Blood Orchid,4.9
8112,The Mangler Collection,"['Drama', 'Horror', 'Science Fiction']",en,4.299199,"['New Line Cinema', 'Allied Film Production']",106.0,['English'],The Mangler,4.4
8127,Night of the Demons Collection,['Horror'],en,6.942907,"['Republic Pictures', 'Meridian Productions', 'Paragon Arts International']",90.0,"['English', 'Italiano']",Night of the Demons,6.1
8134,Resident Evil Collection,"['Horror', 'Action', 'Science Fiction']",en,7.850797,"['Impact Pictures', 'Constantin Film Ltd.']",94.0,['English'],Resident Evil: Apocalypse,6.1
8151,Nuke 'Em High Collection,"['Comedy', 'Horror', 'Science Fiction']",en,1.263475,['Troma Entertainment'],90.0,['English'],Class of Nuke 'Em High 2: Subhumanoid Meltdown,4.9
8165,Basket Case Collection,['Horror'],en,2.452019,['Shapiro-Glickenhaus Entertainment'],90.0,['English'],Basket Case 3,4.8
8166,Basket Case Collection,['Horror'],en,4.052825,['Shapiro-Glickenhaus Entertainment'],90.0,['English'],Basket Case 2,5.6
8195,Europa Trilogy,"['Horror', 'Drama']",da,2.354311,"['Det Danske Filminstitut', 'Elementfilm A/S']",106.0,"['Dansk', 'English']",Epidemic,6.2
8205,It's Alive Collection,['Horror'],en,2.564605,"['Warner Bros.', 'Larco Productions']",91.0,['English'],It's Alive,5.6
8220,The Grudge Collection,"['Horror', 'Mystery', 'Thriller']",en,9.740827,"['Ghost House Pictures', 'Vertigo Entertainment', 'Senator International', 'Colombia Pictures', 'Fellah Pictures']",92.0,"['English', '日本語']",The Grudge,5.8
8230,Saw Collection,"['Horror', 'Mystery', 'Crime']",en,23.508433,"['Lions Gate Films', 'Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.']",103.0,['English'],Saw,7.2
8234,The Incredibles Collection,"['Action', 'Adventure', 'Animation', 'Family']",en,22.220214,"['Walt Disney Pictures', 'Pixar Animation Studios']",115.0,"['Français', 'English']",The Incredibles,7.4
8240,Child's Play Collection,"['Drama', 'Horror', 'Comedy']",en,15.216315,['Rogue Pictures'],87.0,['English'],Seed of Chucky,4.9
8242,Bridget Jones Collection,"['Comedy', 'Romance']",en,7.78817,"['Miramax Films', 'Universal Pictures', 'Studio Canal', 'Working Title Films', 'Atlantic Television', 'Little Bird']",108.0,"['Deutsch', 'ภาษาไทย', 'English']",Bridget Jones: The Edge of Reason,6.1
8245,National Treasure Collection,"['Adventure', 'Action', 'Thriller', 'Mystery']",en,18.932203,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Junction Entertainment']",131.0,"['Latin', 'English', 'Español']",National Treasure,6.4
8247,SpongeBob Collection,"['Animation', 'Comedy', 'Family']",en,11.213712,"['Paramount Pictures', 'Nickelodeon Movies', 'United Plankton Pictures']",87.0,['English'],The SpongeBob SquarePants Movie,6.7
8257,Ocean's Collection,"['Thriller', 'Crime']",en,11.869347,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']",125.0,"['Français', 'Italiano', 'Nederlands', '普通话', 'English']",Ocean's Twelve,6.4
8258,Blade Collection,"['Science Fiction', 'Action', 'Horror', 'Thriller', 'Adventure', 'Fantasy']",en,18.860681,"['New Line Cinema', 'Amen Ra Films', 'Shawn Danielle Productions Ltd.', 'Imaginary Forces', 'Marvel Enterprises', 'Peter Frankfurt Productions']",123.0,"['Esperanto', 'English']",Blade: Trinity,5.7
8271,That's Entertainment Collection,"['Documentary', 'Family', 'Music']",en,1.048027,['Metro-Goldwyn-Mayer (MGM)'],135.0,['English'],That's Entertainment!,7.9
8272,That's Entertainment Collection,"['Documentary', 'Family', 'Music']",en,0.661367,['Metro-Goldwyn-Mayer (MGM)'],126.0,['English'],"That's Entertainment, Part II",6.6
8273,That's Entertainment Collection,"['Documentary', 'Music', 'Family']",en,2.788375,"['Metro-Goldwyn-Mayer (MGM)', 'Turner Entertainment']",113.0,['English'],That's Entertainment! III,7.5
8281,The Invisible Man (Universal Series),"['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']",en,1.360563,['Universal Pictures'],81.0,['English'],The Invisible Man Returns,6.3
8315,I Love a Mystery movie series,"['Drama', 'Horror', 'Romance']",en,1.48162,['Metro-Goldwyn-Mayer (MGM)'],63.0,['English'],The Unknown,7.6
8346,King Kong (1933 series),"['Adventure', 'Horror', 'Action', 'Science Fiction']",en,1.771424,['RKO Radio Pictures'],70.0,"['English', 'Deutsch']",The Son of Kong,5.2
8362,The Wolf Man (Universal Series),"['Fantasy', 'Horror', 'Drama']",en,8.579045,['Universal Pictures'],75.0,"['Latin', 'English', '广州话 / 廣州話']",Werewolf of London,6.4
8379,Topper Collection,"['Comedy', 'Fantasy', 'Romance']",en,3.1574,['Hal Roach Studios'],97.0,['English'],Topper,6.2
8407,Why We Fight,"['Documentary', 'History', 'War']",en,0.476623,['War activities committee of the motion pictures industry'],53.0,['English'],Why We Fight: Prelude to War,5.6
8419,Cat People Collection,"['Drama', 'Fantasy']",en,2.038602,['RKO Radio Pictures'],70.0,['English'],The Curse of the Cat People,5.8
8432,Ivan The Terrible Collection,"['Drama', 'History']",ru,2.121177,"['Mosfilm', 'TsOKS']",103.0,['Pусский'],"Ivan the Terrible, Part I",7.0
8447,Road to Collection,['Comedy'],en,1.642712,"['Paramount Pictures', 'Bing Crosby Productions', 'Hope Enterprises']",100.0,['English'],Road to Rio,6.5
8466,The Orphic Trilogy,"['Drama', 'Fantasy', 'Romance']",fr,5.017839,"['Films du Palais Royal', 'Andre Paulve Film']",95.0,['Français'],Orpheus,8.0
8472,Allan Quatermain (1950 series),"['Action', 'Adventure', 'Romance']",en,1.684532,['Metro-Goldwyn-Mayer (MGM)'],103.0,['English'],King Solomon's Mines,6.3
8482,The Paleface Collection,"['Comedy', 'Romance', 'Western']",en,4.423289,['Paramount Pictures'],95.0,['English'],Son of Paleface,6.2
8495,Samurai Collection,"['Drama', 'Action', 'Adventure']",ja,3.28276,['Toho Company'],93.0,['日本語'],Samurai I: Musashi Miyamoto,7.4
8503,Samurai Collection,"['Drama', 'Action', 'Adventure']",ja,2.235644,['Toho Company'],103.0,['日本語'],Samurai II: Duel at Ichijoji Temple,7.3
8509,Samurai Collection,"['Action', 'Adventure', 'Drama', 'Romance', 'History']",ja,2.62459,['Toho Company'],105.0,['日本語'],Samurai III: Duel at Ganryu Island,7.4
8530,The Human Condition,"['War', 'Drama', 'History']",ja,1.914775,['Shôchiku Eiga'],181.0,"['日本語', '普通话', 'Pусский']",The Human Condition II: Road to Eternity,8.5
8547,The Human Condition,"['War', 'Drama', 'History']",ja,2.327284,"['Shôchiku Eiga', 'Ninjin Club']",191.0,"['日本語', '普通话', 'Pусский']",The Human Condition III: A Soldier's Prayer,8.4
8561,Alienation Trilogy,"['Romance', 'Drama']",it,5.6567,"['Paris Film', 'Cineriz', 'Interopa Film']",126.0,"['English', 'Deutsch', 'Italiano']",L'eclisse,7.7
8589,Dracula (Hammer Series),['Horror'],en,8.913793,"['Seven Arts Productions', 'Hammer Film Productions']",90.0,['English'],Dracula: Prince of Darkness,6.1
8610,Asterix and Obelix (Animation) Collection,"['Family', 'Animation', 'Adventure', 'Comedy']",fr,7.24597,"['Belvision', 'Dargaud Films']",68.0,['Français'],Asterix the Gaul,6.4
8626,Asterix and Obelix (Animation) Collection,"['Family', 'Animation', 'Adventure', 'Comedy']",fr,7.681293,"['Belvision', 'Dargaud Films']",72.0,['Français'],Asterix and Cleopatra,6.9
8628,Dracula (Hammer Series),['Horror'],en,3.321958,['Hammer Film Productions'],92.0,"['English', 'Latin']",Dracula Has Risen from the Grave,6.8
8649,Dracula (Hammer Series),['Horror'],en,3.952446,['Hammer Film Productions'],95.0,['English'],Taste the Blood of Dracula,5.9
8656,Gamera Films,"['Action', 'Adventure', 'Science Fiction']",ja,0.006668,['Daiei Studios'],83.0,['日本語'],Gamera vs. Jiger,5.5
8676,Trinità  Collection,"['Action', 'Comedy', 'Western']",it,9.449417,['West Film'],106.0,['Italiano'],They Call Me Trinity,7.5
8681,Dracula (Hammer Series),['Horror'],en,3.764162,['Hammer Film Productions'],96.0,['English'],Scars of Dracula,5.9
8685,The Emigrants Collection,"['Adventure', 'Drama']",sv,2.392021,['Svensk Filmindustri (SF)'],191.0,['svenska'],The Emigrants,6.8
8688,Dr. Phibes Collection,"['Comedy', 'Horror']",en,2.59351,['American International Pictures (AIP)'],89.0,['English'],Dr. Phibes Rises Again,6.2
8689,Dracula (Hammer Series),['Horror'],en,11.174533,['Hammer Film Productions'],96.0,['English'],Dracula A.D. 1972,6.0
8691,The Tall Blond Man Collection,"['Comedy', 'Mystery']",fr,3.985387,"['Gaumont', 'Madeleine Films', 'Les Productions de la Guéville']",90.0,"['Français', 'Italiano']",The Tall Blond Man with One Black Shoe,6.9
8692,Lone Wolf and Cub Collection,"['Drama', 'Action']",ja,1.839717,['Katsu Production Co. Ltd.'],83.0,['日本語'],Lone Wolf and Cub: Sword of Vengeance,7.1
8693,Lone Wolf and Cub Collection,"['Action', 'Drama']",ja,2.492024,['Katsu Production Co. Ltd.'],81.0,['日本語'],Lone Wolf and Cub: Baby Cart at the River Styx,7.3
8706,Nobody Collection,"['Comedy', 'Western']",it,6.022453,"['Rafran Cinematografica', 'Les Films Jacques Leitienne', 'Rialto Film Preben-Philipsen', 'Alcinter']",117.0,['Italiano'],My Name Is Nobody,7.1
8717,Walking Tall Original Collection,"['Action', 'Crime', 'Drama']",en,4.689964,['Bing Crosby Productions'],125.0,['English'],Walking Tall,6.5
8723,Emmanuelle Collection,"['Drama', 'Romance']",fr,12.855473,"['Trinacra Films', 'Orphée Productions']",89.0,['Français'],Emmanuelle,4.9
8727,Gone in 60 Seconds Trilogy,"['Action', 'Crime', 'Drama', 'Thriller']",en,3.560274,['Halicki Productions'],105.0,['English'],Gone in 60 Seconds,6.5
8738,Dolemite Collection,"['Action', 'Comedy', 'Crime']",en,1.631512,['Comedian Intl Enterprise Productions (C.I.E.)'],90.0,['English'],Dolemite,5.5
8739,Asterix and Obelix (Animation) Collection,"['Family', 'Animation', 'Comedy', 'Adventure']",fr,7.715483,"['Dargaud Films', 'Les Productions René Goscinny', 'Studios Idéfix']",82.0,['Français'],The Twelve Tasks of Asterix,7.3
8740,Emmanuelle Collection,"['Drama', 'Romance']",fr,3.476536,['Trinacra Films'],84.0,['Français'],Emmanuelle II,4.9
8743,French Connection Collection,"['Action', 'Crime', 'Drama', 'Thriller']",en,18.54199,['Twentieth Century Fox Film Corporation'],119.0,"['English', 'Français']",French Connection II,6.6
8746,Ирония судьбы (Коллекция),"['Drama', 'Comedy', 'Romance']",ru,2.694572,['Mosfilm'],184.0,['Pусский'],"The Irony of Fate, or Enjoy Your Bath!",7.2
8750,The Sister Street Fighter Collection,"['Action', 'Drama']",ja,0.616558,['Toei Tokyo'],86.0,"['English', '日本語']",Sister Street Fighter,7.0
8752,Trilogy of Terror Collection,"['Horror', 'Thriller']",en,1.488031,"['ABC Circle Films', 'Dan Curtis Productions']",72.0,['English'],Trilogy of Terror,6.6
8757,Westworld Collection,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,6.265857,['American International Pictures (AIP)'],104.0,['English'],Futureworld,5.7
8785,The Lord of the Rings Animated Collection,"['Adventure', 'Animation', 'Family']",en,16.425868,['Rankin/Bass Productions'],77.0,['English'],The Hobbit,6.0
8793,French Fried Vacation,['Comedy'],fr,5.921814,"['Trinacra Films', 'Ragewar Productions']",90.0,['Français'],French Fried Vacation 2,7.4
8813,Barefoot Gen Collection,"['Animation', 'Drama', 'War']",ja,2.28696,['Gen Productions'],83.0,['日本語'],Barefoot Gen,7.6
8848,Star Wars: The Ewok Adventures Collection,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'TV Movie']",en,5.056089,"['Lucasfilm', 'Korty Films']",96.0,['English'],The Ewok Adventure,5.9
8856,"Silent Night, Deadly Night Collection","['Thriller', 'Horror']",en,3.81324,['TriStar Pictures'],79.0,['English'],"Silent Night, Deadly Night",5.6
8860,Anne of Green Gables Collection,"['Drama', 'Family']",en,7.222048,['Sullivan Entertainment'],199.0,['English'],Anne of Green Gables,8.2
8861,Asterix and Obelix (Animation) Collection,"['Comedy', 'Animation', 'Family', 'Adventure']",fr,7.174178,"['Dargaud Films', 'Gaumont International', 'Les Productions René Goscinny']",79.0,['Français'],Asterix vs. Caesar,6.5
8862,Barbarian Queen Collection,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",en,1.424291,"['Rodeo Productions', 'Aries Cinematográfica Argentina']",70.0,['English'],Barbarian Queen,4.6
8867,Demons Collection,['Horror'],fr,11.477701,['DACFILM Rome'],88.0,"['English', 'Deutsch', 'Italiano']",Demons,6.5
8868,Star Wars: The Ewok Adventures Collection,['Adventure'],en,10.002017,['Lucasfilm'],100.0,['English'],Ewoks: The Battle for Endor,5.4
8870,Mr. Vampire Collection,"['Action', 'Comedy', 'Horror']",cn,4.191925,"['Toho-Towa', 'Bo Ho Film Company Ltd.', 'Golden Harvest Company Ltd.']",96.0,['广州话 / 廣州話'],Mr. Vampire,5.8
8871,Police Story Collection,"['Action', 'Crime', 'Thriller']",cn,6.489294,"['Golden Way Films Ltd.', 'Paragon Films Ltd.']",101.0,['广州话 / 廣州話'],Police Story,7.3
8883,Asterix and Obelix (Animation) Collection,"['Family', 'Animation', 'Adventure', 'Comedy']",fr,5.711211,"['Gaumont International', 'Gutenberghus']",79.0,['Français'],Asterix in Britain,6.8
8887,Flodder Collection,['Comedy'],fr,6.702844,['First Floor Features'],111.0,['Nederlands'],Flodder,6.6
8894,A Better Tomorrow Collection,"['Action', 'Crime', 'Drama']",cn,9.488593,['Cinema City Company Limited'],95.0,"['广州话 / 廣州話', 'English', '普通话']",A Better Tomorrow,7.3
8897,The Frogtown Collection,"['Action', 'Comedy', 'Horror', 'Science Fiction']",en,6.004236,['New World Pictures'],88.0,['English'],Hell Comes to Frogtown,5.7
